tickerid,epochtime,open,high,low,close,volume,weightedavgprice
0,1611864635,844.32,844.32,844.32,844.32,1,844.32
1,1611864635,149.46,149.46,149.46,149.46,0,149.46
2,1611864635,382.47,382.47,382.47,382.47,0,382.47
3,1611864635,24.26,24.26,24.26,24.26,0,24.26
4,1611864635,20.13,20.13,20.13,20.13,1,20.13
3,1611864640,24.26,24.26,24.26,24.26,0,24.26
2,1611864640,382.47,382.47,382.47,382.47,0,382.47
0,1611864640,844.17,844.17,844.16,844.17,13,844.17
1,1611864640,149.35,149.35,149.35,149.35,1,149.35
4,1611864640,20.13,20.13,20.13,20.13,1,20.13
3,1611864645,24.27,24.27,24.27,24.27,2,24.27
2,1611864645,382.17,382.42,382.17,382.42,4,382.31
0,1611864645,844.19,844.19,844.17,844.17,5,844.18
1,1611864645,149.26,149.26,149.26,149.26,1,149.26
4,1611864645,20.13,20.13,20.13,20.13,0,20.13
3,1611864650,24.27,24.27,24.27,24.27,0,24.27
2,1611864650,382.42,382.42,382.42,382.42,0,382.42
0,1611864650,844.17,844.17,844.17,844.17,0,844.17
1,1611864650,149.26,149.26,149.26,149.26,0,149.26
4,1611864650,20.13,20.13,20.13,20.13,2,20.13
3,1611864655,24.27,24.27,24.27,24.27,1,24.27
2,1611864655,382.42,382.42,382.42,382.42,0,382.42
0,1611864655,844.17,844.17,844.17,844.17,0,844.17
1,1611864655,149.26,149.26,149.26,149.26,0,149.26
4,1611864655,20.12,20.12,20.12,20.12,1,20.12
3,1611864660,24.27,24.27,24.27,24.27,0,24.27
2,1611864660,382.42,382.42,382.42,382.42,0,382.42
0,1611864660,844.04,844.04,844.04,844.04,1,844.04
1,1611864660,149.26,149.26,149.26,149.26,0,149.26
4,1611864660,20.13,20.13,20.12,20.12,14,20.12
4,1611864665,20.12,20.12,20.12,20.12,1,20.12
3,1611864665,24.27,24.27,24.27,24.27,0,24.27
2,1611864665,382.42,382.42,382.42,382.42,0,382.42
0,1611864665,844,844.08,843.95,843.95,3,844.01
1,1611864665,149.34,149.34,149.34,149.34,2,149.34
3,1611864670,24.27,24.27,24.27,24.27,0,24.27
2,1611864670,382.42,382.42,382.42,382.42,0,382.42
0,1611864670,843.95,843.95,843.95,843.95,0,843.95
1,1611864670,149.35,149.35,149.35,149.35,1,149.35
4,1611864670,20.12,20.13,20.11,20.13,19,20.12
1,1611864675,149.3,149.44,149.3,149.37,4,149.36
3,1611864675,24.27,24.27,24.27,24.27,0,24.27
2,1611864675,382.4,382.4,382.4,382.4,1,382.4
0,1611864675,844.03,844.11,844.03,844.05,6,844.09
4,1611864675,20.13,20.13,20.12,20.13,41,20.13
3,1611864680,24.27,24.27,24.27,24.27,3,24.27
2,1611864680,382.4,382.4,382.4,382.4,0,382.4
0,1611864680,843.84,843.84,843.8,843.8,2,843.82
1,1611864680,149.42,149.42,149.37,149.37,2,149.4
4,1611864680,20.13,20.14,20.12,20.14,40,20.13
3,1611864685,24.28,24.28,24.28,24.28,3,24.28
2,1611864685,382.54,382.54,382.54,382.54,1,382.54
0,1611864685,844,844,844,844,1,844
1,1611864685,149.37,149.37,149.37,149.37,0,149.37
4,1611864685,20.15,20.16,20.15,20.15,14,20.15
0,1611864690,844,844,844,844,0,844
3,1611864690,24.28,24.28,24.28,24.28,0,24.28
2,1611864690,382.54,382.54,382.54,382.54,0,382.54
1,1611864690,149.37,149.37,149.37,149.37,0,149.37
4,1611864690,20.15,20.15,20.15,20.15,0,20.15
4,1611864695,20.14,20.15,20.14,20.14,8,20.15
3,1611864695,24.27,24.27,24.27,24.27,3,24.27
2,1611864695,382.54,382.54,382.54,382.54,0,382.54
0,1611864695,843.82,843.82,843.52,843.72,5,843.65
1,1611864695,149.37,149.37,149.37,149.37,0,149.37
3,1611864700,24.27,24.27,24.27,24.27,0,24.27
2,1611864700,382.54,382.54,382.54,382.54,0,382.54
0,1611864700,843.66,843.66,843.65,843.65,2,843.66
1,1611864700,149.37,149.37,149.37,149.37,0,149.37
4,1611864700,20.14,20.15,20.13,20.13,18,20.13
3,1611864705,24.27,24.27,24.27,24.27,0,24.27
2,1611864705,382.56,382.56,382.56,382.56,1,382.56
0,1611864705,843.65,843.65,843.65,843.65,0,843.65
1,1611864705,149.34,149.34,149.32,149.32,4,149.33
4,1611864705,20.13,20.14,20.13,20.14,7,20.13
3,1611864710,24.27,24.27,24.27,24.27,0,24.27
2,1611864710,382.75,382.75,382.75,382.75,1,382.75
0,1611864710,843.75,843.75,843.75,843.75,3,843.75
